id,center_x,center_y,time,x,y,w,h
16,556,1032,68,540.0,1023.0,33.0,18.0
21,1008,639,68,990.0,610.0,36.0,58.0
43,389,824,68,367.0,805.0,44.0,38.0
59,425,665,68,409.0,643.0,33.0,44.0
29,1145,1021,68,1121.0,1011.0,49.0,20.0
43,389,824,69,367.0,806.0,44.0,37.0
59,425,664,69,408.0,642.0,34.0,45.0
21,998,594,69,979.0,574.0,38.0,41.0
29,1143,1020,69,1119.0,1011.0,48.0,19.0
113,835,900,69,819.0,877.0,32.0,47.0
21,1010,642,70,995.0,615.0,30.0,55.0
59,424,664,70,407.0,642.0,35.0,45.0
43,388,824,70,367.0,806.0,43.0,37.0
29,1136,1021,70,1107.0,1012.0,59.0,18.0
113,835,900,70,819.0,877.0,33.0,47.0
29,1133,1020,71,1102.0,1012.0,62.0,17.0
59,425,664,71,408.0,642.0,34.0,45.0
55,670,618,71,661.0,603.0,19.0,31.0
113,939,896,71,925.0,883.0,28.0,26.0
21,1010,643,71,995.0,615.0,31.0,56.0
113,836,900,72,819.0,877.0,34.0,47.0
29,1135,1020,72,1109.0,1011.0,53.0,19.0
21,1010,643,72,995.0,615.0,31.0,56.0
55,669,618,72,660.0,603.0,19.0,31.0
59,424,664,72,407.0,642.0,35.0,45.0
29,1136,1021,73,1111.0,1012.0,50.0,18.0
21,1010,644,73,995.0,616.0,31.0,56.0
55,670,619,73,660.0,603.0,20.0,32.0
59,424,664,73,407.0,642.0,35.0,45.0
113,938,897,73,925.0,883.0,27.0,28.0
21,1010,645,74,995.0,617.0,31.0,56.0
55,670,619,74,660.0,603.0,20.0,32.0
59,425,664,74,408.0,642.0,34.0,45.0
113,939,897,74,926.0,884.0,26.0,27.0
29,1128,1023,74,1097.0,1012.0,63.0,23.0
59,425,665,75,408.0,643.0,34.0,44.0
113,936,897,75,921.0,884.0,31.0,27.0
55,670,619,75,660.0,603.0,20.0,33.0
29,1128,1023,75,1097.0,1012.0,62.0,22.0
21,1011,645,75,995.0,618.0,32.0,55.0
29,1128,1021,76,1099.0,1012.0,59.0,19.0
59,297,655,76,281.0,638.0,32.0,34.0
43,406,827,76,392.0,808.0,28.0,39.0
55,670,619,76,660.0,603.0,21.0,33.0
21,1012,646,76,997.0,619.0,30.0,54.0
113,938,897,76,925.0,884.0,26.0,27.0
29,1128,1021,77,1101.0,1012.0,55.0,19.0
59,297,654,77,281.0,637.0,33.0,35.0
113,937,897,77,925.0,884.0,25.0,27.0
55,671,619,77,661.0,603.0,21.0,32.0
21,1012,646,77,998.0,619.0,29.0,55.0
43,395,820,78,370.0,803.0,50.0,35.0
55,671,619,78,660.0,603.0,22.0,32.0
29,1127,1023,78,1101.0,1012.0,53.0,22.0
113,937,897,78,925.0,885.0,24.0,25.0
21,1013,651,78,1000.0,629.0,27.0,45.0
59,424,665,78,408.0,643.0,33.0,44.0
113,835,891,79,817.0,866.0,37.0,51.0
43,395,821,79,371.0,804.0,48.0,34.0
21,1014,652,79,1001.0,630.0,26.0,44.0
59,297,654,79,281.0,637.0,32.0,34.0
55,671,619,79,660.0,603.0,22.0,32.0
29,1128,1024,79,1103.0,1012.0,51.0,25.0
59,297,654,80,281.0,640.0,32.0,29.0
21,1015,653,80,1003.0,632.0,25.0,42.0
43,394,821,80,370.0,804.0,49.0,34.0
29,1127,1026,80,1103.0,1013.0,49.0,26.0
